Species,GeneID,GeneName,Elements,Citation(s) - DOI only,Closest species orthologs,Tissue,Comments
Athaliana_TAIR10,AT1G56160,MYB72,"Fe,Cd,Zn,Co,Mo",10.1371/journal.pgen.1003953,NA,Leaf,NA
Athaliana_TAIR10,AT1G56430,NAS4,"Fe,Cd,Co,Mo",10.1371/journal.pgen.1003953,NA,Leaf,NA
Athaliana_TAIR10,AT1G59870,PEN3,Cd,10.1111/j.1365-313X.2007.03044.x,,"Shoots, roots",PDR8
Athaliana_TAIR10,AT1G60960,IRT3,Fe,10.1111/j.1469-8137.2009.02766.x,,Roots,NA
Athaliana_TAIR10,AT1G62180,APR2,"S, Se",10.1038/ng2050; 10.1104/pp.114.247825,NA,Shoots,NA
Athaliana_TAIR10,AT1G63440,HMA5,Cu,10.1111/j.1365-313X.2005.02601.x,,Shoots,NA
Athaliana_TAIR10,AT1G66240,AX1,Cu,10.1104/pp.112.195974,,Shoots,NA
Athaliana_TAIR10,AT1G68320,MYB62,P,10.1093/mp/ssn081,,"Roots,shoots",NA
Athaliana_TAIR10,AT1G71200,CITF1,Cu,10.1105/tpc.17.00363,NA,"Shoots, Anthers",NA
Athaliana_TAIR10,AT1G74770,BTSL1,"Fe,Mn,Zn",10.1039/c7mt00152e,NA,"Leaf,seeds",NA
Athaliana_TAIR10,AT1G76430,PHT1;9,"P,As",10.1111/j.1469-8137.2012.04167.x,,"Roots,shoots",NA
Athaliana_TAIR10,AT1G80310,MOT2,Mo,https://doi-org.proxy.mul.missouri.edu/10.1111/j.1438-8677.2011.00448.x,,"Leaf,seeds",NA
Athaliana_TAIR10,AT1G80760,NIP6;1,B,10.1105/tpc.108.058628,,"Leaves,shoots",NA
Athaliana_TAIR10,AT1G80830,NRAMP1,Mn,10.1105/tpc.109.073023,NA,"Shoots,roots",NA
Athaliana_TAIR10,AT2G01770,VIT1,Fe,10.1126/science.1132563,Osativa,Seed,NA
Athaliana_TAIR10,AT2G01980,SOS1/NHX7,Na,10.1038/nbt766,,Shoots,NA
Athaliana_TAIR10,AT2G13540,ABH1,S,10.1371/journal.pone.0063014,,seeds,NA
Athaliana_TAIR10,AT2G16770,bZIP23,Zn,10.1073/pnas.1004788108,NA,"Shoots, roots",NA
Athaliana_TAIR10,AT2G19110,HMA4,Zn,10.1105/tpc.020487; 10.1038/NPLANTS.2016.36,Osativa,"Shoots,seeds",NA
Athaliana_TAIR10,AT2G21045,HAC1,As,10.1371/journal.pbio.1002009,NA,Shoots,NA
Athaliana_TAIR10,AT2G23150,NRAMP3,"Fe,Mn,Zn",10.1104/pp.109.150946,NA,Shoots,NA
Athaliana_TAIR10,AT2G23240,MT4b,"Cu,Zn",10.1111/j.1365-3040.2011.02450.x,,Seeds,NA
Athaliana_TAIR10,AT2G25680,MOT1,Mo,10.1371/journal.pgen.1000004,NA,Leaf,NA
Athaliana_TAIR10,AT2G28160,FRU,Fe,10.1038/cr.2008.26,,Shoots,FIT1
Athaliana_TAIR10,AT2G28670,ESB1,"Ca,Mn,Zn,Na,S,K,As,Se,Mo",10.1371/journal.pgen.1000492,NA,Leaf,NA
Athaliana_TAIR10,AT2G30766,FEP1,Fe,10.1111/pce.14424,,Shoots,NA
Athaliana_TAIR10,AT2G32300,UCC1,"Li,P,S,Fe,Co",10.1016/j.cub.2020.07.095,,Leaf,NA
Athaliana_TAIR10,AT2G32830,PHT1;5,P,10.1104/pp.111.174805,,Roots,NA
Athaliana_TAIR10,AT2G33770,PHO2,P,10.1105/tpc.112.096636,,"Roots,shoots",NA
Athaliana_TAIR10,AT2G37430,ZAT11,Ni,10.1007/s00299-014-1675-7,,Shoots,NA
Athaliana_TAIR10,AT2G38460,FPN1,Co,10.1105/tpc.109.069401,NA,Leaf,NA
Athaliana_TAIR10,AT2G38940,PHT1;4,P,10.1111/j.1365-313X.2004.02161.x,,"Roots,shoots",PT2
Athaliana_TAIR10,AT2G39450,MTP11,Mn,10.1073/pnas.0609507104,NA,"Shoots,Roots",NA
